,num_devices,task_data,local_completion_time,energy_consumed,total_weighted_waste,completion_time
296,150,15,4.3267916004723117e-10,1.6588453239911373e-05,8.29444295953571e-06,
297,150,5,5.959766854156647e-10,2.284910458136216e-05,1.1424850279023787e-05,
298,150,25,1.8117415351987656e-09,6.946022021529595e-05,3.4731015978415575e-05,
299,150,40,3.1654649318825687e-10,1.2136051803230187e-05,6.068184174861688e-06,
300,200,40,1.52529143566374e-11,5.847803174754996e-07,2.923977851949281e-07,
301,200,10,1.202670430179408e-09,4.6109089681780416e-05,2.3055146176105297e-05,
302,200,20,5.858070340045646e-10,2.2459211093354056e-05,1.122989845019403e-05,
303,200,35,1.6541615185669058e-09,6.341877200420875e-05,3.171021308286366e-05,
304,200,30,5.443047955815099e-11,2.086805994718528e-06,1.043430212599043e-06,
305,200,5,1.5861814820073409e-09,6.081249057943962e-05,3.0407038380460812e-05,
306,200,10,1.4049394975044037e-10,5.3863867991035945e-06,2.6932636465266725e-06,
307,200,35,6.408837731436635e-10,2.457079398474177e-05,1.2285717434257458e-05,
308,200,40,2.0689521491689612e-09,7.932139828125071e-05,3.966173361669994e-05,
309,200,35,1.7164595474240667e-10,6.580721137004938e-06,3.29044639147984e-06,
310,200,35,1.821021370861574e-10,6.98159991253543e-06,3.490891007336258e-06,
311,200,10,4.183758947885998e-10,1.6040081446606243e-05,8.020249911250515e-06,
312,200,25,1.3722039344519942e-09,5.260882174171397e-05,2.630509697282421e-05,
313,200,45,1.890767516401772e-09,7.24899912673177e-05,3.6245941017417054e-05,
314,200,15,6.991403597478842e-10,2.680428880500413e-05,1.3402493972681938e-05,
315,200,45,7.009871538199736e-10,2.6875092901751605e-05,1.3437896944452713e-05,
316,200,25,5.177266843336212e-11,1.984908377187645e-06,9.924800749280391e-07,
317,200,5,1.3283203486239014e-09,5.092637229943093e-05,2.5463850309889777e-05,
318,200,40,1.078117175068881e-09,4.1333851955853906e-05,2.066746503651449e-05,
319,200,40,1.766903597822204e-09,6.774118196195375e-05,3.387147443277579e-05,
320,200,45,2.762548811774598e-10,1.059131477053187e-05,5.295795512706524e-06,
321,200,15,1.7124098257890908e-09,6.565194940187619e-05,3.2826830905850994e-05,
322,200,25,8.029664638680735e-10,3.078486987364613e-05,1.5392836420055e-05,
323,200,5,1.1180651672275725e-09,4.286541497331115e-05,2.143326651923919e-05,
324,200,10,1.7086208174828044e-09,6.55066829020808e-05,3.2754195761449137e-05,
